YEAR,PSTATABB,ORISPL,PNAME,NAMEPCAP,LAT,LON,PLFUELCT,governor,state,Start_Year,End_Year,party
2010,AK,62,Annex Creek,4,58.3167,-134.0958,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,6580,Beaver Falls,5.4,55.3633,-131.6778,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,7752,Black Bear Lake,4.5,55.4764,-133.1483,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,93,Blue Lake,7,57.0516,-135.2297,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,7367,Bradley Lake,126,59.7554,-150.8511,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,7168,Chester Lake,1,55.1139,-131.5481,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,6291,Cooper Lake,19.4,60.4908,-149.8158,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,77,Eklutna Hydro Project,44.4,61.605,-149.1192,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,7751,Goat Lake Hydro,4,59.455,-135.3264,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,63,Gold Creek,9.7,58.3,-134.4061,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,313,Green Lake,18.6,56.9858,-135.1211,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,56542,Kasidaya Creek Hydro,3,59.4072,-135.3408,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,84,Ketchikan,4.2,55.3633,-131.6778,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,57085,Lake Dorothy Hydroelectric Project,14.3,58.2325,-134.0533,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,91,Petersburg,12.3,56.5583,-133.2544,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,57187,Pillar Mountain Wind Project,4.5,57.7869,-152.4406,WIND,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,7862,Power Creek,6,60.59,-145.5956,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,6302,Purple Lake,3.9,55.1139,-131.5481,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,65,Salmon Creek 1,8.5,58.3261,-134.4625,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,6581,Silvis,2.1,55.3633,-131.6778,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,66,Skagway,4.4,59.4583,-135.3139,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,78,Snettisham,78.2,58.1389,-133.7264,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,390,Solomon Gulch,12,61.0811,-146.8572,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,56265,South Fork,2,55.55,-132.9,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,70,Swan Lake,22.4,55.3633,-131.6778,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AK,71,Terror Lake,22.4,57.7911,-152.4058,HYDRO,Sean Parnell,Alaska,2009,2014,Republican
2010,AL,54429,Alabama Pine Pulp,69,31.5825,-87.4889,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,10216,Alabama River Pulp,48,31.5825,-87.4889,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,2,Bankhead Dam,45,33.2146,-87.5882,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,702,Bartletts Ferry,173,32.6631,-85.0911,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,55044,Boise Cascade Pulp & Paper Mill,18,31.4894,-87.8989,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,46,Browns Ferry,3494,34.7042,-87.1189,NUCLEAR,Bob Riley,Alabama,2003,2011,Republican
2010,AL,53,Gantt,3,31.4,-86.4753,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,54789,Georgia Pacific Brewton Mill,40.9,31.077,-87.1113,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,10699,Georgia Pacific Naheola Mill,78.3,32.2268,-88.0252,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,707,Goat Rock,38.6,32.6088,-85.0814,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,48,Guntersville,115.2,34.4211,-86.3931,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,11,H Neely Henry Dam,72.9,33.7845,-86.0524,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,6188,Harris Dam,135,33.2579,-85.6162,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,12,Holt Dam,40,33.2553,-87.4495,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,50245,International Paper Courtland Mill,127.1,34.735,-87.3108,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,52140,International Paper Prattville Mill,89.8,32.4187,-86.4718,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,54096,International Paper Riverdale Mill,104.2,32.425,-86.8694,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,6131,Jones Bluff,82,32.3248,-86.7872,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,13,Jordan Dam,100,32.6189,-86.2548,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,6001,Joseph M Farley,1776.4,31.2231,-85.1116,NUCLEAR,Bob Riley,Alabama,2003,2011,Republican
2010,AL,15,Lay Dam,177,32.9633,-86.5187,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,18,Lewis Smith Dam,157.4,33.9406,-87.1077,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,14,Logan Martin Dam,128.1,33.4258,-86.338,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,16,Martin Dam,210.6,32.6797,-85.9125,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,54802,Mead Coated Board,112.5,32.175,-85.0311,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,38,Millers Ferry,101.1,32.1009,-87.3969,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,17,Mitchell Dam,170,32.8049,-86.4456,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,50407,Mobile Energy Services LLC,78.8,30.7322,-88.0769,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,55,Point A,5.2,31.3614,-86.5183,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,54763,Rock-Tenn Mill,31.5,32.4541,-87.9759,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,19,Thurlow Dam,91,32.5349,-85.8896,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,54216,U S Alliance Coosa Pines,30.4,33.3278,-86.3583,BIOMASS,Bob Riley,Alabama,2003,2011,Republican
2010,AL,4,Walter Bouldin Dam,225,32.6184,-86.2567,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,20,Weiss Dam,87.6,34.1722,-85.7537,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,49,Wheeler Dam,404,34.8069,-87.3819,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,6440,Wilson Dam,666.7,34.7934,-87.6244,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AL,21,Yates Dam,50.5,32.5743,-85.8901,HYDRO,Bob Riley,Alabama,2003,2011,Republican
2010,AR,8055,Arkansas Nuclear One,1845,35.311,-93.2351,NUCLEAR,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,54104,Ashdown,156.5,33.6417,-94.1083,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,182,Beaver,112,36.4226,-93.8462,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,197,Blakely Mountain,75,34.5711,-93.1947,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,198,Bull Shoals,340,36.3635,-92.5763,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,166,Carpenter,56,34.4425,-93.0262,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,50638,Clearwater Paper APP CB,20,33.7061,-91.2371,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,56182,Columbia Flooring Melbourne,2,36.0614,-91.9197,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,7246,Dam 2,102.6,33.9864,-91.3159,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,199,Dardanelle,160.8,35.2503,-93.1686,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,187,Degray,68,34.2122,-93.1099,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,7040,Ellis,32.4,35.35,-94.2917,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,10606,Georgia Pacific Crossett,92,33.1421,-91.975,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,188,Greers Ferry Lake,96,35.5207,-91.9953,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,54283,Lee Creek Water Treatment Facility,1.3,35.4892,-94.3908,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,7166,Murray,45.4,34.7956,-92.3569,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,195,Narrows,25.5,34.1483,-93.7149,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,196,Norfork,80.4,36.2491,-92.2401,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,6142,Ozark,100,35.4693,-93.8175,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,10627,Pine Bluff Mill,85,34.2204,-91.9063,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,174,Remmel,9,34.4272,-92.8941,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,56079,STEC-S LLC,18,34.5136,-91.5331,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,56523,Two Pine Landfill Gas Recovery,4.8,34.8364,-92.1656,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,50640,Warren Lumber Mill,15,33.6206,-92.0789,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,57025,Waste Management Eco Vista LFGTE,4,36.1758,-94.2056,BIOMASS,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,7135,Whillock,32.4,35.1258,-92.7897,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,57160,White River Lock and Dam 1,4.3,35.7569,-91.6356,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,57161,White River Lock and Dam 2,3.5,35.7436,-91.7644,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AR,57162,White River Lock and Dam 3,4.3,35.8428,-91.8519,HYDRO,Mike Beebe,Arkansas,2007,2015,Democrat
2010,AZ,143,Crosscut,33,33.44,-111.9442,HYDRO,Jan Brewer,Arizona,2009,2015,Republican
2010,AZ,152,Davis Dam,254.8,35.1967,-114.5698,HYDRO,Jan Brewer,Arizona,2009,2015,Republican
2010,AZ,57379,Dry Lake Wind II LLC,65.1,35.4028,-110.3133,WIND,Jan Brewer,Arizona,2009,2015,Republican
2010,AZ,57098,Dry Lake Wind LLC,63,34.5372,-110.4217,WIND,Jan Brewer,Arizona,2009,2015,Republican
2010,AZ,153,Glen Canyon Dam,1312,36.9373,-111.4838,HYDRO,Jan Brewer,Arizona,2009,2015,Republican
2010,AZ,7179,Headgate Rock,19.5,34.1678,-114.2744,HYDRO,Jan Brewer,Arizona,2009,2015,Republican
2010,AZ,8902,Hoover Dam,1039.4,36.014,-114.7384,HYDRO,Jan Brewer,Arizona,2009,2015,Republican
2010,AZ,145,Horse Mesa,129.5,33.5907,-111.344,HYDRO,Jan Brewer,Arizona,2009,2015,Republican
2010,AZ,57140,Maricopa Solar,1.5,33.5581,-112.2186,SOLAR,Jan Brewer,Arizona,2009,2015,Republican
